,cat,name,region,envelope_compactness,area
0,248,Mindanao islands group (ex 561),South-West Pacific,0.39148540192936904,95741.202877655
1,269,"North Atlantic (ex 116, 309, 311, 313, 444, 447, 448, 603, 604, 608) ",Africa,0.5806244749796519,4279217.324639565
2,82,CONGO ,Africa,0.5582937927232806,4956730.668770581
3,238,"Mediterranean Sea (ex 104, 627, 928, 691, 693)",Africa,0.5152373709317257,2378853.0018782844
4,254,NILE,Africa,0.47020160191025034,3917267.8771085646
5,168,Indian Ocean (ex 160),Africa,0.4556338518356534,592661.4159740267
6,173,JUBBA (also GENALE WENZ) (ex 180),Africa,0.32499142133689557,2626930.81930692
7,168,Indian Ocean (ex 160),Africa,0.5968126240595258,3698.3557140993225
8,406,ZAMBEZI,Africa,0.6286575529959392,4643482.057133875
9,100,"Chukchi Sea, Okhotsk Sea and Bering Sea (ex 202, 204, 287, 401, 402) ",Asia,0.33496564013986896,2129385.0234099175
10,196,LENA and INDIGIRKA,Asia,0.5862833874575344,3217789.1456061373
11,344,Sakhalin and Kuril Islands,Asia,0.28016372621512886,3324.6068426420884
12,4,AMUR,Asia,0.432287774956216,3819381.62401562
13,402,YENISEY,Asia,0.4332966907295861,3822054.7733308366
14,286,OB,Asia,0.5440221356292382,4187265.684974775
15,17,Arabian Peninsula,Asia,0.5733095285661539,5324932.073313339
16,129,GANGES,Asia,0.6281024383345142,5799810.429442621
17,49,Bay of Bengal (ex 259),Asia,0.5320777673809942,935725.5571629974
18,361,Sri Lanka,Asia,0.5822574205422725,66448.00268180613
19,221,MEKONG,Asia,0.18215105317599328,1325263.482337834
20,399,YANGTZE,Asia,0.4690960387468339,4363629.538508776
21,378,Taiwan,Asia,0.608688463565314,36349.34430079145
22,159,Honshu island (ex 288),Asia,0.26241148823719707,368559.5724960379
23,188,Kyushu and Ryukyu Islands,Asia,0.32151512634004226,1362.871968720422
24,138,"Gobi desert, Junggar and Turpan depressions",Asia,0.41623628931465756,1429126.1867756296
25,3,AMAZON (also Amazonas),South America,0.6854534429739512,6391214.35464326
26,360,"South Pacific (ex 348, 378, 379, 380) ",South America,0.4414940968172075,183778.09623447031
27,329,SAO FRANCISCO,South America,0.517533346989747,3006340.4368425906
28,315,RIO DE LA PLATA,South America,0.5821536901802373,5415689.154243124
29,351,"South Atlantic (ex 154, 158, 160, 350, 352, 353)",South America,0.44498814604558184,12436.69326991373
30,74,CHUBUT and DESEADO and CHICO and SANTA CRUZ and COIG,South America,0.3618019786298105,643509.0287364897
31,53,Bering Sea,"North America, Central America and the Caribbean",0.20335432496394334,1212.622258852609
32,53,Bering Sea,"North America, Central America and the Caribbean",0.12251700241419589,4985.505088429085
33,210,MACKENZIE,"North America, Central America and the Caribbean",0.4595854166777004,3732719.0365706277
34,284,"Northwest passage (ex 410, 411, 412)","North America, Central America and the Caribbean",0.32118292780591123,2542509.649450509
35,161,Hudson Bay    ,"North America, Central America and the Caribbean",0.46724871765914894,4024178.2149003595
36,79,COLUMBIA,"North America, Central America and the Caribbean",0.6107564673307921,1336959.1776682092
37,225,MISSISSIPPI,"North America, Central America and the Caribbean",0.5157943520050413,4355109.487569726
38,145,"Gulf of Mexico (ex 449, 458, 459)","North America, Central America and the Caribbean",0.31523133608885584,1230476.7494940627
39,273,"North Pacific (ex 341, 405, 406, 445, 446, 456, 457, 471, 474, 477) ","North America, Central America and the Caribbean",0.5023733679586994,3596589.447272778
40,37,Bahamas ,"North America, Central America and the Caribbean",0.4373066914104818,5901.468401747334
41,102,Cuba (ex 480),"North America, Central America and the Caribbean",0.2704029575865032,111830.50071247574
42,157,Hispaniola (ex 483),"North America, Central America and the Caribbean",0.43925683387872433,74813.53246631811
43,175,Jamaica ,"North America, Central America and the Caribbean",0.5461420731843231,11210.590804606083
